Year,Imean,I5q,I95,Istatic,sd
1980,45.9874984823139,40.1668971642228,50.513452280778,43.5638283928064,0.0803808001717631
1981,52.0686807238039,44.7286704202709,57.1870110701899,49.0398424465921,0.0953466786453358
1982,48.2237576573837,41.7403577796248,53.4588960873192,46.4910631417668,0.0874377342135949
1983,52.9872648530097,47.3266337043411,57.1966945019265,50.6932910323228,0.066984123362117
1984,52.604007454215,46.0195172187319,57.7945303496965,50.1324266905866,0.0806492830542915
1985,55.7349184425091,49.2316248551238,60.960318597854,53.5783545935642,0.0763911822536791
1986,57.5585591742798,52.6996862437985,63.1129759278773,55.757395300361,0.0675433823969456
1987,55.4411710912081,49.6609008502536,59.8883442379971,52.393390291165,0.082270027700283
1988,44.7986780083601,37.9467224876642,49.8671396464245,43.2191690213046,0.0880487599268843
1989,58.6414322451168,51.1901844311094,64.7500899732151,56.4384409057871,0.0962843070856696
1990,60.284409332703,53.4433504326462,67.3917402500843,58.7091575809623,0.097488588929251
1991,62.4959763407337,54.0838645270659,68.3610298148729,60.4712829524606,0.109952621999759
1992,53.8608880551753,45.3451710073549,59.2460062633942,51.3425242609429,0.112178066193266
1993,54.4419004354503,44.8177591628629,61.3226430686469,52.6884690436557,0.118952544473612
1994,65.217064586516,53.9641689722557,73.8475141195562,63.154587165297,0.126175071037762
1995,52.6774807650197,42.2110204815729,59.2116526810852,50.6563635274314,0.131788452484714
1996,64.4715009647456,49.4585011351379,74.0208642820816,62.8261209538849,0.178107531614554
1997,68.7755605172527,55.6587345556984,79.41257736008,67.5967968776381,0.187596500382314
1998,60.3967589883469,46.5539613282102,70.4580158230931,59.5586235973107,0.184386442236163
1999,69.6141835815137,50.5544256704735,82.8833721248389,68.4327680683794,0.267598055895449
2000,74.0934695097507,56.1160986812589,84.498074346805,72.2157956131955,0.218703951007245
2001,62.5641293249678,56.1120632228146,69.1754299857083,61.0539677920693,0.0930210793887769
2002,63.9788074551496,48.3316801447441,74.2136698384535,63.6527740175605,0.189304521920899
2003,70.1203479308062,57.3092190603768,79.2346615963122,69.7979384821457,0.184253860164017
2004,73.3461177080689,58.2041829363038,82.5351710450183,71.0439051833605,0.182598212653617
2005,71.5398029019331,57.3727512384209,80.0574252073878,68.9511754626373,0.193087843005233
2006,84.3619176920649,67.2624299193883,95.1503813588778,81.9943429070574,0.231249859067763
2007,69.5455693195061,58.046902175013,79.6189697484113,69.2881883865576,0.16065063599794
2008,70.6378179937859,59.0115224425849,80.9417078186316,71.5815159929313,0.151431218372352
2009,62.8194621736881,55.9989896652451,69.2449185906382,63.3713935037077,0.0956373741959943
2010,65.1130769346108,55.1746138100303,73.4191150942398,65.5531434389251,0.133933057124525
2011,66.3664934055252,53.9457514908115,76.24561489851,66.9415427121257,0.162579080192305
2012,74.7632221111573,62.0486480497924,86.5245470004212,75.1945074358195,0.186999233882099
2013,71.0046669984428,60.6985462654277,78.8711183447581,70.494826371877,0.141608510947781
2014,70.270939647071,55.6539539360373,82.6539789680149,70.364786820373,0.200770391104005
2015,89.4174958724035,74.4283778430783,99.993928813153,89.7793842106957,0.192963252267728
